Timestamp,Gender,AgeRange,What Social Media Platforms do you use?,SocialMediaTimes,Do you talk about your mental health on Social media?,MostHelpful,LeastHelpful,Have you faced a Mental health Issue?,How do you prefer to talk about your mental health?,Have you received support from friends because of something you posted on Social Media?,With whom do you talk on social media regarding your mental health?,OverallEffect,Did you come across any social media status that your friend has posted relating to his/her mental health during the Lockdown?,"If yes, then did you lend any support to such person?",Have you come across any suicidal status or any such status that any of your friend's have posted where he/she intends to do some harm to himself/herself during the Lockdown?,"If yes, then did you lend any support to such person?"
4/7/2021 13:07:39,Male,18-21 years old,"Facebook, Whatsapp, Instagram, Discord, YouTube",2-3 hours,No,YouTube,Instagram,No,Face to Face,I haven't posted anything on social media regarding to my mental health,I don't talk to anyone,No effect,Yes,No,No,No
4/7/2021 13:15:37,Male,18-21 years old,"Whatsapp, Snapchat, Telegram, YouTube",3-6 hours,Yes,YouTube,Facebook,No,Face to Face,I haven't posted anything on social media regarding to my mental health,Anyone,No effect,Yes,Yes,No,No
4/7/2021 13:16:50,Female,22-30 years old,"Facebook, Whatsapp, Instagram, Snapchat, Telegram, YouTube",2-3 hours,No,Facebook,LinkedIn,No,Face to Face,I haven't posted anything on social media regarding to my mental health,I don't talk to anyone,No effect,Yes,Yes,No,No
4/7/2021 13:20:18,Male,18-21 years old,"Facebook, Whatsapp, Instagram, Snapchat, Telegram, YouTube",2-3 hours,No,YouTube,Whatsapp,No,Face to Face,I haven't posted anything on social media regarding to my mental health,Friends(Whom you know Offline),No effect,Yes,Yes,No,No
4/7/2021 13:20:33,Male,18-21 years old,"Facebook, Whatsapp, Instagram, Snapchat",3-6 hours,No,YouTube,Instagram,No,Face to Face,I haven't posted anything on social media regarding to my mental health,Friends(Whom you know Offline),Positive,No,Yes,No,Yes
4/7/2021 13:23:24,Male,18-21 years old,"Facebook, Whatsapp, Instagram, YouTube",3-6 hours,No,Whatsapp,LinkedIn,Prefer not to say,I don't talk about it,Yes,Friends(Whom you know Offline),No effect,No,No,No,No
4/7/2021 13:29:41,Female,22-30 years old,"Facebook, Whatsapp, Instagram, Snapchat, Telegram, Discord, YouTube",3-6 hours,No,Whatsapp,Facebook,Yes,I don't talk about it,Yes,Friends(Whom you know Offline),Negative,Yes,Yes,No,No
4/7/2021 13:34:45,Male,18-21 years old,"Facebook, Whatsapp, Instagram, Snapchat, Telegram, YouTube",2-3 hours,No,YouTube,Whatsapp,No,Face to Face,I haven't posted anything on social media regarding to my mental health,Friends(Whom you know Offline),No effect,Yes,Yes,No,No
4/7/2021 13:40:46,Male,18-21 years old,"Whatsapp, Instagram, Discord, YouTube",3-6 hours,Yes,YouTube,LinkedIn,Yes,Face to Face,Yes,Friends(Whom you know Offline),No effect,No,No,No,No
4/7/2021 13:42:51,Female,18-21 years old,"Facebook, Whatsapp, Snapchat, Discord, YouTube",3-6 hours,No,Facebook,Blogging sites,Prefer not to say,I don't talk about it,I haven't posted anything on social media regarding to my mental health,Online acquaintances(Whom you don't know Offline),Positive,Prefer not to say,Yes,No,Yes
4/7/2021 13:58:45,Male,18-21 years old,"Facebook, Whatsapp, Discord, YouTube, okCupid",6-8 hours,No,YouTube,Instagram,Yes,I don't talk about it,I haven't posted anything on social media regarding to my mental health,I don't talk to anyone,Negative,Prefer not to say,No,No,No
4/7/2021 13:59:12,Female,22-30 years old,"Facebook, Whatsapp, Telegram, YouTube",Less than 2 hours,Yes,YouTube,Facebook,Yes,Face to Face,Yes,Friends(Whom you know Offline),Positive,Yes,Yes,No,No
4/7/2021 14:01:51,Female,41-60 years old,"Facebook, Whatsapp, Instagram, Telegram, YouTube",Less than 2 hours,No,Whatsapp,LinkedIn,No,Face to Face,I haven't posted anything on social media regarding to my mental health,I don't talk to anyone,Positive,Yes,Yes,No,No
4/7/2021 14:15:41,Male,18-21 years old,"Facebook, Whatsapp, Instagram, Telegram, YouTube",3-6 hours,No,Whatsapp,Facebook,Prefer not to say,I don't talk about it,I haven't posted anything on social media regarding to my mental health,I don't talk to anyone,Negative,Yes,Yes,No,No
4/7/2021 14:16:40,Female,41-60 years old,"Facebook, Whatsapp, Instagram, YouTube",Less than 2 hours,No,YouTube,YouTube,No,Face to Face,I haven't posted anything on social media regarding to my mental health,I don't talk to anyone,Positive,Yes,Yes,No,Yes
4/7/2021 14:22:08,Female,41-60 years old,"Facebook, Whatsapp, Instagram, YouTube",3-6 hours,No,Facebook,Facebook,Yes,I don't talk about it,I haven't posted anything on social media regarding to my mental health,Friends(Whom you know Offline),Positive,Yes,Yes,No,No
